title,author,publisher,price,rating,ratings_count
The Great Wheel,Ian R. Macleod,"JABberwocky Literary Agency, Inc.",9.26,4.6,4
Dark Delicacies,,"JABberwocky Literary Agency, Inc.",8.68,3.7,50
Vampires Don't Sleep Alone,"Del Howison, Elizabeth Barrial","JABberwocky Literary Agency, Inc.",8.68,2.6,2
Kill Baxter,Charlie  Human,"JABberwocky Literary Agency, Inc.",4.63,4.6,5
Martyrs,Edo Van belkom,"JABberwocky Literary Agency, Inc.",6.94,3.9,1
Zeuglodon,James P. Blaylock,"JABberwocky Literary Agency, Inc.",8.68,3.6,22
A Death of Honor,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",4.63,3.6,1
At Empire's Edge,William C. Dietz,"JABberwocky Literary Agency, Inc.",8.1,3.0,11
The Scarlet Letters,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,3.99,3
Layla Steps Up,Charlaine  Harris,"JABberwocky Literary Agency, Inc.",3.47,4.7,3
The Door Between,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,5.0,5
There Was An Old Woman,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,4.71,1
Halfway House,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,4.1,4
Change of Command,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,4.3,20
The Devil to Pay,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,4.61,4
Once a Hero,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,3.04,1
Against the Odds,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,4.32,4
The Four of Hearts,Ellery Queen,"JABberwocky Literary Agency, Inc.",8.68,4.0,1
Scissors Cut Paper Wrap Stone,Ian McDonald,"JABberwocky Literary Agency, Inc.",9.26,4.11,5
Cult Classic,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,4.2,1
Lady of Magick,Sylvia Izzo Hunter,"JABberwocky Literary Agency, Inc.",9.26,3.0,1
The Midnight Queen,Sylvia Izzo Hunter,"JABberwocky Literary Agency, Inc.",9.26,3.0,1
Four Novellas,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",17.96,1.76,1
The Skeleton Takes a Bow,Leigh Perry,"JABberwocky Literary Agency, Inc.",10.42,3.2,1
The Skeleton Haunts a House,Leigh Perry,"JABberwocky Literary Agency, Inc.",10.42,3.3,1
The Future Falls,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,3.5,9
Rendezvous with Corsair,Jack Campbell,"JABberwocky Literary Agency, Inc.",9.26,4.3,20
A Just Determination,Jack Campbell,"JABberwocky Literary Agency, Inc.",8.68,5.0,3
The Ghost in Love,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,2.1,1
Fermans Devals: Author's Intended Edition,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",5.91,4.7,1
Bones of the Moon,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,2.38,1
Messenger Runs,Peter V. Brett,"JABberwocky Literary Agency, Inc.",9.87,1.71,4
"Hot Lead, Cold Iron",Ari  Marmell,"JABberwocky Literary Agency, Inc.",9.26,4.15,3
Direct Descendant,Tanya Huff,JAB Books,11.58,3.0,87
Teaching the Dog to Read,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",5.79,5.0,1
The Tragedy of Errors And Others,Ellery Queen,JAB Books,10.42,3.7,4
The Skeleton Rides a Horse and Other Stories,Toni L. p. Kelner,JAB Books,10.42,3.4,1
Barely Floating,Lilliam Rivera,"JABberwocky Literary Agency, Inc.",10.42,4.0,5
Dead to Rites,Ari  Marmell,"JABberwocky Literary Agency, Inc.",9.26,5.0,1
Sporting Chance,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,5.0,5
Winning Colors,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,3.53,61
The Broken Land,Ian McDonald,"JABberwocky Literary Agency, Inc.",8.1,3.32,1
Dark Delicacies II,,"JABberwocky Literary Agency, Inc.",8.68,3.31,3
Bathing the Lion,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.1,46
Shadowmasque,Michael Cobley,"JABberwocky Literary Agency, Inc.",6.94,4.9,4
Reverse Shot,,"JABberwocky Literary Agency, Inc.",11.58,2.75,1
Shadowgod,Michael Cobley,"JABberwocky Literary Agency, Inc.",6.94,4.0,1
Cloud Permutations,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",5.21,2.3,5
Deeds of Wisdom,Elizabeth Moon,JAB Books,6.94,3.7,7
Mark Dalton: Owner/Operator,Edo Van belkom,"JABberwocky Literary Agency, Inc.",6.94,3.2,1
Blood Road,Edo Van belkom,"JABberwocky Literary Agency, Inc.",6.94,2.6,1
Faceless Galaxy,Auston Habershaw,JAB Books,9.26,3.49,49
Baxter Moon,John Zakour (BM),"JABberwocky Literary Agency, Inc.",4.05,2.46,18
Summon the Keeper,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,1.3,1
The Company Man,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",2.89,4.1,2
Mechanical Failure,Joe Zieja,"JABberwocky Literary Agency, Inc.",8.68,3.9,7
The Adventure of the Ring of Stones,James P. Blaylock,"JABberwocky Literary Agency, Inc.",4.63,3.1,1
The Affair of the Chalk Cliffs,James P. Blaylock,"JABberwocky Literary Agency, Inc.",4.63,2.8,2
A Tip for the Hangman,Allison Epstein,"JABberwocky Literary Agency, Inc.",9.26,2.55,10
Desperate Measures,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",1.15,5.0,1
In Truth and Claw,Ari  Marmell,"JABberwocky Literary Agency, Inc.",9.26,3.41,2
Let the Dead Bury the Dead,Allison Epstein,"JABberwocky Literary Agency, Inc.",9.26,2.98,27
Precious Cargo,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",3.47,3.53,16
The Essence of Evil,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",3.47,5.0,1
The Smart One,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",4.63,4.62,1
Deadly Rising,Jeri  Westerson,"JABberwocky Literary Agency, Inc.",8.1,5.0,3
Glass Soup,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.7,8
Fire Season,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,4.0,1
White Apples,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,3.8,54
Dead But Not Forgotten,"Charlaine  Harris, Christopher  Golden, Bill  Crider, Suzanne  McLeod, MaryJanice Davidson, Dana  Cameron, Leigh  Evans, Jeanne C. Stein, Miranda  James, Nancy Holder, Jonathan Maberry, Rachel Caine, Jeffrey J. Mariotte, Leigh Perry, Seannan McGuire, Nicole Peeler","JABberwocky Literary Agency, Inc.",8.1,3.9,11
Smoke and Mirrors,Tanya Huff,"JABberwocky Literary Agency, Inc.",10.42,4.1,2
The Wooden Sea,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.44,1
Smoke and Ashes,Tanya Huff,"JABberwocky Literary Agency, Inc.",10.42,5.0,1
Blood Banked,Tanya Huff,"JABberwocky Literary Agency, Inc.",3.47,4.2,32
The Best Science Fiction of the Year: Volume 7,"Karl Schroeder, Ken Liu, An Owomoyela, Mary Anne Mohanraj, Tade Thompson, Aliette de Bodard, Suzanne Palmer, Hao Jingfang, José Pablo Iriarte, Indrapramit Das, Kim Bo-young, Robert Reed, Hannu Rajaniemi, Octavia Cade, Meg Elison, Ray Nayler, Rich Larson, Vandana Singh, Neil Clarke, Alice Towey, Anil Menon, Erin Barbeau, S. Qiouyi Liu, Shauna O'Meara, R.S.A. Garcia, Gregory Norman Bossert, Shiv Ramdas, Cooper Shrivastava, Regina Kanyu Wang, Grace Chan","JABberwocky Literary Agency, Inc.",10.42,1.8,1
Bottle Demon,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,3.56,20
Smoke and Shadows,Tanya Huff,"JABberwocky Literary Agency, Inc.",10.42,3.6,39
The Great Game,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",9.26,3.5,20
Prime Meridian,Silvia Moreno-Garcia,"JABberwocky Literary Agency, Inc.",4.93,3.1,38
The Bookman,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",9.26,3.8,3
Hiding Place,Adam-Troy  Castro,"JABberwocky Literary Agency, Inc.",5.79,3.1,1
Camera Obscura,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",9.26,3.5,67
Hellworld,Simon R. Green,"JABberwocky Literary Agency, Inc.",8.68,2.78,17
Relics of Ruin,Erin M. Evans,"JABberwocky Literary Agency, Inc.",8.1,3.2,92
Hottest Blood,,"JABberwocky Literary Agency, Inc.",11.58,4.8,6
Mistworld,Simon R. Green,"JABberwocky Literary Agency, Inc.",8.68,3.41,5
Ghostworld,Simon R. Green,"JABberwocky Literary Agency, Inc.",8.68,4.1,1
The Crow's Dinner,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,5.0,3
The Mushroom Shift,Joe Clifford Faust,"JABberwocky Literary Agency, Inc.",2.89,4.3,14
The Best Science Fiction of the Year: Volume 8,"Tobias S. Buckell, Yoon Ha Lee, Wole Talabi, Julianna Baggott, Annalee Newitz, Suzanne Palmer, Sarah Gailey, Naomi Kritzer, S.L. Huang, Greg Egan, Alastair Reynolds, Leonard Richardson, Premee Mohamed, Meg Elison, Ray Nayler, Rich Larson, Ai Jiang, Marie Vibbert, Neil Clarke, R.S.A. Garcia, Grace Chan, Isabel J. Kim, A.T. Greenblatt, M. Bennardo, Nian Yu, Congyun ""Mu Ming"" Gu, J.C. Hsyu, Hannah Yang, Chinelo Onwualu, Jessica Reisman","JABberwocky Literary Agency, Inc.",10.42,3.9,9
February Thaw,Tanya Huff,"JABberwocky Literary Agency, Inc.",2.89,3.9,1
Return to Camerein,Rick Shelley,"JABberwocky Literary Agency, Inc.",6.37,4.8,3
Booke of the Hidden,Jeri  Westerson,"JABberwocky Literary Agency, Inc.",8.1,4.4,1
Andromeda's Choice,William C. Dietz,"JABberwocky Literary Agency, Inc.",10.42,4.3,4
Andromeda's Fall,William C. Dietz,"JABberwocky Literary Agency, Inc.",10.42,2.09,1
The Land of Laughs,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.1,13
Valor's Choice (Open Market),Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,4.19,5
Death Shall Come,Simon R. Green,"JABberwocky Literary Agency, Inc.",10.42,3.6,18
A Season of Spells,Sylvia Izzo Hunter,"JABberwocky Literary Agency, Inc.",9.26,2.1,3
Andromeda's War,William C. Dietz,"JABberwocky Literary Agency, Inc.",10.42,2.8,1
Into the Thinnest of Air,Simon R. Green,"JABberwocky Literary Agency, Inc.",10.42,3.8,5
Hallow Point,Ari  Marmell,"JABberwocky Literary Agency, Inc.",9.26,3.92,15
A Skeleton in the Family,Leigh Perry,"JABberwocky Literary Agency, Inc.",10.42,3.9,11
Empire of Exiles,Erin M. Evans,"JABberwocky Literary Agency, Inc.",8.1,4.0,1
Miserere,T. Frohock,"JABberwocky Literary Agency, Inc.",6.94,3.27,1
Rule of Evidence,Jack Campbell,"JABberwocky Literary Agency, Inc.",8.68,4.7,3
Way Out,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,4.3,11
The Complete Smoke Series,Tanya Huff,"JABberwocky Literary Agency, Inc.",20.86,4.6,1
And Hope to Die,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,4.0,15
Kissing the Beehive,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,5.0,5
Ghost Money,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,3.9,3
The Marriage of Sticks,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.3,1
Seven of Infinities,Aliette de Bodard,"JABberwocky Literary Agency, Inc.",4.63,4.5,1
Outside the Dog Museum,Jonathan Carroll,"JABberwocky Literary Agency, Inc.",10.42,4.0,1
Hungry Ghosts,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,3.23,5
Dead Leprechauns & Devil Cats,Grady Hendrix,"JABberwocky Literary Agency, Inc.",9.26,3.06,38
Lost Earth,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,3.3,5
Antares Victory,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.0,1
The Star Shard,Frederic S. Durbin,"JABberwocky Literary Agency, Inc.",6.94,3.5,19
Broken Souls,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,3.5,8
Thunderstrike!,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,3.01,4
A Fate Worse Than Dragons,John Moore,"JABberwocky Literary Agency, Inc.",6.37,2.5,1
Slay and Rescue,John Moore,"JABberwocky Literary Agency, Inc.",6.94,2.66,2
Antares Dawn,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,5.0,2
The Unhandsome Prince,John Moore,"JABberwocky Literary Agency, Inc.",6.94,3.53,3
Gibraltar Sun,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.0,3
Antares Passage,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,3.8,1
Bad Prince Charlie,John Moore,"JABberwocky Literary Agency, Inc.",6.94,5.0,1
Gibraltar Stars,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,3.63,1
"Of Dragons, Feasts and Murders",Aliette de Bodard,"JABberwocky Literary Agency, Inc.",5.21,4.0,3
Sucker Punch,Rick Shelley,"JABberwocky Literary Agency, Inc.",6.37,4.2,122
Vossoff and Nimmitz,Adam-Troy  Castro,"JABberwocky Literary Agency, Inc.",8.68,3.4,11
"Gate of Darkness, Circle of Light",Tanya Huff,"JABberwocky Literary Agency, Inc.",6.94,5.0,1
The Fires of Coventry,Rick Shelley,"JABberwocky Literary Agency, Inc.",6.37,2.9,14
The Lair,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,2.2,2
Night of Violence,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",8.68,3.05,1
Gibraltar Earth,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,1.8,5
Motivate Your Writing,"Stephen P. Kelner, Jr., PhD","JABberwocky Literary Agency, Inc.",8.1,5.0,1
Life Probe,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.4,19
Goblin Tales,Jim C. Hines,"JABberwocky Literary Agency, Inc.",3.47,4.5,14
Seeds of Fear,"James  Crawford, Michael Newton, Bentley  Little, Kathryn  Ptacek, Jeff  Gelb, Michael  Garrett, P. D. Cacek, J. N. Williamson, Wayne Allen Sallee, Ronald Kelly, Rex Miller, Edward Lee, Billie Sue Mosiman, John F. D. Taff, J. L. Comean, Stephen R. George, Scott H. Urban, Paul Dael Anderson, Larry Tritten","JABberwocky Literary Agency, Inc.",11.58,3.76,3
Procyon's Promise,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,3.8,31
Nor All Your Tears,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,3.61,1
The Ice,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,3.78,11
Intruder,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,4.8,1
The Devil's Menagerie,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,2.9,3
White Harvest,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,2.58,1
The Magnificent Siberian,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,4.6,3
The Fire's Stone,Tanya Huff,"JABberwocky Literary Agency, Inc.",7.52,2.4,1
Down From the Mountain,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,3.4,1
Night of the Living POTUS,Adam-Troy  Castro,"JABberwocky Literary Agency, Inc.",1.15,4.0,1
The Truth of Valor,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,3.2,1
HebrewPunk,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",9.26,1.2,5
Pennies from Heaven,James P. Blaylock,"JABberwocky Literary Agency, Inc.",10.42,3.5,3
Windswept,Adam Rakunas,"JABberwocky Literary Agency, Inc.",6.94,3.0,1
"Of Wars, and Memories, and Starlight",Aliette de Bodard,"JABberwocky Literary Agency, Inc.",8.1,2.9,2
Tales from the Folly,Ben Aaronovitch,"JABberwocky Literary Agency, Inc.",8.1,5.0,1
The Gobblin' Society,James P. Blaylock,"JABberwocky Literary Agency, Inc.",4.63,2.8,1
The Lunacy Commission,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",8.1,3.0,18
The Sign of the Dragon,Mary Soon Lee,"JABberwocky Literary Agency, Inc.",8.1,2.3,1
The Clouds of Saturn,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.7,5
Euclid's Wall,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.1,7
Pirate of the Prophecy,Jack Campbell,"JABberwocky Literary Agency, Inc.",6.37,5.0,4
The Adventure of the Six Sherlocks,Toni L. p. Kelner,"JABberwocky Literary Agency, Inc.",1.15,2.43,1
The Sails of Tau Ceti,Michael Mccollum,"JABberwocky Literary Agency, Inc.",9.26,4.5,1
Dead Things,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,4.47,8
Wolf in the Fold,Simon R. Green,"JABberwocky Literary Agency, Inc.",9.26,2.9,16
Hate Machine,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",8.1,2.1,5
Child of the Grove,Tanya Huff,"JABberwocky Literary Agency, Inc.",5.21,1.8,1
The Great Bazaar,Peter V. Brett,"JABberwocky Literary Agency, Inc.",4.93,3.2,1
Burden of Proof,Jack Campbell,"JABberwocky Literary Agency, Inc.",8.68,4.4,5
Into the Broken Lands,Tanya Huff,"JABberwocky Literary Agency, Inc.",20.28,3.4,17
All Souls Lost,Dan Moren,"JABberwocky Literary Agency, Inc.",8.68,4.6,1
Against All Enemies,Jack Campbell,"JABberwocky Literary Agency, Inc.",8.68,3.8,3
Brayan's Gold,Peter V. Brett,"JABberwocky Literary Agency, Inc.",4.93,4.14,1
Messenger's Legacy,Peter V. Brett,"JABberwocky Literary Agency, Inc.",4.93,2.61,1
The Privilege of Peace,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,4.7,1
Minnie and Earl,Adam-Troy  Castro,"JABberwocky Literary Agency, Inc.",11.58,3.8,2
An Ancient Peace,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,4.7,9
A Peace Divided,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,3.7,11
The Wild Ways,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,4.9,3
Deeds of Youth,Elizabeth Moon,"JABberwocky Literary Agency, Inc.",6.37,3.3,1
The Enchantment Emporium,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,5.0,1
The Better Part of Valor,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,3.9,15
The Heart of Valor,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,2.6,1
Outlaw,K. Eason,"JABberwocky Literary Agency, Inc.",9.26,4.4,9
The Shorter Parts of Valor,Tanya Huff,"JABberwocky Literary Agency, Inc.",4.63,4.2,1
Valor's Trial,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,5.0,1
From a Dark Place,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,3.5,1
The Modern Deity's Guide to Surviving Humanity,"Edward  Willett, Irene  Radford, Juliet E. Mckenna, Alma Alexander, Tanya Huff, Jennifer Dunne, Jean Marie Ward, Kari Sperring, Mike Marcus, Daniel Roman, A.L. Tompkins, Crystal Sarakas, Daryl Marcus, A.J. Cunder, N.R. Lambert","Zombies Need Brains, LLC",6.9,4.29,3
The Second Summoning,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,4.6,1
BadAsstronauts,Grady Hendrix,"JABberwocky Literary Agency, Inc.",9.26,5.0,1
Necrotech,K. C. Alexander,"JABberwocky Literary Agency, Inc.",6.37,2.59,20
The Last Wizard,Tanya Huff,"JABberwocky Literary Agency, Inc.",5.21,3.79,5
Wizard of the Grove,Tanya Huff,"JABberwocky Literary Agency, Inc.",9.26,2.2,1
Lone Wolf,Edo Van belkom,"JABberwocky Literary Agency, Inc.",7.9,3.12,5
Cry Wolf,Edo Van belkom,"JABberwocky Literary Agency, Inc.",7.9,3.3,10
Nanoshock,K. C. Alexander,"JABberwocky Literary Agency, Inc.",6.37,3.83,2
Wolf Pack,Edo Van belkom,"JABberwocky Literary Agency, Inc.",7.9,3.3,1
"Of Charms, Ghosts and Grievances",Aliette de Bodard,"JABberwocky Literary Agency, Inc.",5.21,1.0,1
An Occupation of Angels,Lavie Tidhar,"JABberwocky Literary Agency, Inc.",5.21,3.8,36
Wolf Man,Edo Van belkom,"JABberwocky Literary Agency, Inc.",7.9,4.7,2
Suicide Kings,Stephen Blackmoore,"JABberwocky Literary Agency, Inc.",10.42,4.8,11
Wake of War,Zac Topping,"JABberwocky Literary Agency, Inc.",9.26,4.3,10
Enemy,K. Eason,"JABberwocky Literary Agency, Inc.",9.26,4.3,18
No Place on Earth,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",6.94,3.55,23
Artifice & Craft,"C.E.  Murphy, Alex  Bledsoe, Adam Stemple, James Maxey, Gerri Leen, James R.  Tuck, Alethea Kontis, Lyndsay E. Gilbert, Laura E. Price, Brian K. Lowe, Briana Una McGuckin, Jordan Davidson, Madeline Dau, Joel Armstrong, Mark Painter, Jelena Dunato","Zombies Need Brains, LLC",6.9,3.5,14
Twenty-Eight and a Half Wishes,Denise Grover Swank,"JABberwocky Literary Agency, Inc.",6.9,2.8,8
Game On!,"Ed  Greenwood, James Alan Gardner, Cat Rambo, Eric  Choi, Melissa  Yi, Michael Picco, Aliette de Bodard, Mark Silcox, Wulf Moon, Sean Williams, Jennifer R. Povey, Cory Swanson, David Hankins, Jo Miles, Karen Aria Lin, Mike Rimar, Tris Lawrence","Zombies Need Brains, LLC",6.9,3.8,3
Dragonesque,"Esther  Friesner, David B. Coe, Gini Koch, Jean Marie Ward, Gerald Brandt, Russell Hugh McConnell, Bebe Bayliss, Mike Jack Stoumbos, Niall Spain, Auston Habershaw, Madeline Dau, Grace Eliza, Paul D. Smith, Larry Ivkovich, Barbara Campbell, Journey Sloane, Em McDermott","Zombies Need Brains, LLC",6.9,2.9,5
Fear the Fever,,"JABberwocky Literary Agency, Inc.",8.68,4.5,8
Fatal Attractions,,"JABberwocky Literary Agency, Inc.",8.68,5.0,4
Solar Flare,"Chaz  Brenchley, Gail Z. Martin, Liam Hogan, Sarena Ulibarri, Sharon Lee, Steve Miller, Larry N. Martin, Anthony Lowe, Jason Palmatier, S.C. Butler, Rhondi Salsitz, David Keener, Kristine Smith, Ember Randall, Anthony W. Eichenlaub, Lauren C. Teffeau, Devan Barlow, Nicole Givens Kurtz, Christopher R. Muscato","Zombies Need Brains, LLC",6.9,2.8,4
The Brea File,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",9.26,4.55,2
Guard Against Dishonor,Simon R. Green,"JABberwocky Literary Agency, Inc.",9.26,3.1,5
Twenty-Nine and a Half Reasons,Denise Grover Swank,"JABberwocky Literary Agency, Inc.",6.9,5.0,2
Stalk,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",8.68,4.2,17
Down to Earth,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",8.68,3.5,1
Shattering the Glass Slipper,"Marie Brennan, Rachel Swirsky, Cat Rambo, Patricia Bray, José Pablo Iriarte, Y.M. Pang, Rhondi Salsitz, Lucia Iglesias, Alyse Winters, Rebecca A. Demarest, R.J. Blain, Miyuki Jane Pinckard, Angela Rega, Alethea Kontis, R.Z. Held","Zombies Need Brains, LLC",6.9,4.2,11
Psychedelic-40,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",8.68,4.0,1
ZNB Presents: Year One,"Marie Brennan, Alma Alexander, Jason Palmatier, Brian Hugenbruch, A. Katherine Black, Brian Crenshaw, Diana A. Hart, Crystal Sarakas, Evan Marcroft, Cislyn Smith, Hazel King, Barbara Ashford, Ryan T. McFadden, Maria Z. Medina, Adria Bailton, Marc Fleury, Anaea Lay, Desmond Astaire, P.A. Cornell, Antony Paschos, Jack Gallegos, Chloie Piveral, Evergreen Lee, L.D. Colter","Zombies Need Brains, LLC",7.9,4.0,2
Barrier World,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",8.68,2.9,3
Brave New Worlds,"Chaz  Brenchley, Stephen  Leigh, Gini Koch, Eric  Choi, Ian Tregillis, Jack Nicholls, Jacey Bedford, Mike Jack Stoumbos, Jamie M. Boyd, A.M. Giddings, Auston Habershaw, Sarah Lyn Eaton, Willa Blythe, Ari Officer, Juliet Kemp","Zombies Need Brains, LLC",6.9,2.6,1
Corpus Earthling,Louis Charbonneau,"JABberwocky Literary Agency, Inc.",6.94,3.8,82
Noir,"Steven  Harper, Esther  Friesner, Alex  Bledsoe, Julie E. Czerneda, Justin  Jordan, Jessie Kwak, D.B. Jackson, Aprilynne Pike, Andrija Popovic, R.S. Belcher, Hal Bodner, Travis Wade Beaty, John Zakour, Erik Grove, Eve Golden-Woods","Zombies Need Brains, LLC",6.9,4.4,21
The Magic Spectacles,James P. Blaylock,"JABberwocky Literary Agency, Inc.",8.68,5.0,5
Derelict,"Chaz  Brenchley, Alex  Bledsoe, Jack Campbell, Jana Paniccia, Julie E. Czerneda, Gini Koch, D.B. Jackson, Sharon Lee, Steve Miller, Andrija Popovic, Jacey Bedford, Gerald Brandt, Kristine Smith, R.Z. Held, Griffin Ayaz Tyree, Kit Harding, Mark D. Jacobsen","Zombies Need Brains, LLC",6.9,4.8,52
Portals,"Steven  Harper, Esther  Friesner, James  Enge, Violette Malan, Gini Koch, Ian Tregillis, Kate Hall, Patrick Hurley, Andrija Popovic, Jacey Bedford, Jason Palmatier, F. Brett Cox, Nancy Holzner, Juliet Kemp, John Linwood Grant, Jaime Lee Moyer","Zombies Need Brains, LLC",6.94,3.3,5
Night Relics,James P. Blaylock,"JABberwocky Literary Agency, Inc.",8.68,3.6,1
When Worlds Collide,"Steven  Harper, Esther  Friesner, Stephen  Leigh, Violette Malan, Howard Andrew Jones, Alan Smale, S.C. Butler, Gary Kloster, Louis Evans, Nancy Holzner, Auston Habershaw, Christopher Leapock, Peter S. Drang, Jordan Chase-Young","Zombies Need Brains, LLC",6.9,3.8,9
My Battery Is Low and It Is Getting Dark,"Edward  Willett, Stephen  Leigh, José Pablo Iriarte, William Leisner, Jacey Bedford, Anthony Lowe, Brian Hugenbruch, Kari Sperring, Alethea Kontis, John G. Hartness, Merc Fenn Wolfmoor, Dana Berube, Alexander Gideon, Chris Kocher","Zombies Need Brains, LLC",6.9,3.0,2
Winter Tides,James P. Blaylock,"JABberwocky Literary Agency, Inc.",10.42,3.2,19
Galactic Stew,"Esther  Friesner, Chaz  Brenchley, Gini Koch, D.B. Jackson, Howard Andrew Jones, Andy Duncan, Jason Palmatier, Mike Jack Stoumbos, Derrick Boden, R.S. Belcher, Diana A. Hart, Mia Moss, Paige L. Christie, Gabriela Santiago, A.L. Tompkins","Zombies Need Brains, LLC",6.9,3.99,1
The Hero King,Rick Shelley,"JABberwocky Literary Agency, Inc.",8.1,4.7,2
Apocalyptic,"James  Enge, Violette Malan, Seanan Mcguire, Leah Ning, Thomas Vaughn, Marjorie King, Tanya Huff, Jason Palmatier, Stephen Blackmoore, Blake Jessop, Nancy Holzner, Zakariah Johnson, Aimee Picchi, Eleftherios Keramidas","Zombies Need Brains, LLC",6.9,4.3,63
Nights of the Round Table,Tanya Huff,"JABberwocky Literary Agency, Inc.",2.89,4.09,5
