title,author,publisher,price,rating,ratings_count
Octopus Outside the Ocean,Max Marshall,,2.32,5.0,1
Великий Гэтсби / The Great Gatsby,Francis Scott Fitzgerald,,2.21,4.26,19
Поллианна / Pollyanna,Eleanor Hodgman Porter,,2.21,4.6,5
Кто боится английской грамматики?,Сергей Цебаковский,,2.27,5.0,2
Рассказы / Short Stories,O. Henry,,3.07,5.0,3
Hotel / Отель,Arthur Hailey,,1.72,4.0,4
Odyssey Moscow,Michael Calvey,The History Press,21.44,4.83,6
Blamestorming - Why conversations go wrong and how to fix them (Unabridged),Rob Kendall,Vibrance Press,19.7,5.0,1
One of Ours / Один из наших,Willa Sibert Cather,,1.18,1.84,3
Professional C# 7 and .NET Core 2.0,,,72.0,3.2,20
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,"Mike Chapple, Darril Gibson, James Michael Stewart",Wiley,69.45,3.7,1
Taken from Her Home (Unabridged),C.J. Grayson,Vibrance Press,25.5,3.44,1
Sociology of the Arts,Victoria D. Alexander,Wiley,58.44,4.2,1
"Bartleby, the Scrivener",Herman Melville,,0.6,5.0,2
The History of War - From Ancient Greece Through the American Civil War (Unabridged),Bryan Gibby,Learn25,27.81,2.7,6
What’s time o’clock?,Catherine Zueva,,0.49,4.32,2
The Complete Sherlock Holmes,Arthur Conan Doyle,,4.93,4.89,70
Philosophy For Dummies,Martin  Cohen,,27.95,4.33,10
The Financier / Финансист,Theodore Dreiser,,6.05,4.0,1
100 Ways to Motivate Others: How Great Leaders Can Produce Insane Results Without Driving People Crazy,"Steve Chandler, Scott Richardson",Career Press,29.38,5.0,1
Logic Pro X For Dummies,Graham  English,,29.99,4.5,2
Truth is the invention of a liar,"Heinz von Foerster, Bernhard Poerksen",Carl-Auer Verlag,33.61,4.1,5
"The Sister Secret - The Beckett Sisters Saga, Book 1 (Unabridged)",Alison Claire Grey,Vibrance Press,25.5,3.0,2
The Wife Lie - A suspense with a shocking twist (Unabridged),Anya Mora,Vibrance Press,25.5,5.0,1
Crow (Unabridged),Amy Spurway,BTC Audiobooks,31.29,4.78,1
Deadline (Unabridged),William G. Hyland,Vibrance Press,25.5,5.0,2
Normal People,Sally Rooney,Faber & Faber,13.9,4.67,3
Finding Your Voice,Barbara Houseman,Nick Hern Books,27.81,4.7,10
Capital Offence,Paul Musson,Unicorn,27.81,4.1,4
Fire and Blood,George R.R. Martin,,25.18,4.78,9
The Barefoot Investor,Scott Pape,Wiley,22.26,3.9,4
Putin’s People,Catherine Belton,HarperCollins Publishers,24.49,4.5,8
Inside Out,Demi Moore,HarperCollins Publishers,19.75,3.5,3
Reiki,Jacqueline Raison,The Crowood Press,19.7,3.1,4
The Emotionally Abusive Relationship. How to Stop Being Abused and How to Stop Abusing,Beverly  Engel,,22.74,4.0,4
